 Mr. Abraham LSalomon,['01']
 Sir. Cosmo Edmund (Mr Morgan)Duff Gordon,['01']
 Lady. (Lucille Christiana Sutherland) (Mrs Morgan)Duff Gordon,['01']
 Miss. Laura MabelFrancatelli,['01']
 Mr. Charles Emil HenryStengel,['01']
 Miss. Elisabeth WaltonAllen,['02']
 Mrs. William (Winnie Minnie Treanor)Coutts,['02']
 Mrs. Edward Scott (Elisabeth Walton McMillan)Robert,['02']
 Mr. AntonKink-Heilmann,['02']
 Mrs. Robert Clifford (Malvina Helen Lamson)Cornell,['02']
 Master. William Loch WilliamCoutts,['02']
 Mrs. Walter Donald (Mahala Dutton)Douglas,['02']
 Miss. Luise GretchenKink-Heilmann,['02']
 Miss. EmilieKreuchen,['02']
 Miss. BerthaLeRoy,['02']
 Mrs. Anton (Luise Heilmann)Kink-Heilmann,['02']
 Master. Eden Leslie NevilleCoutts,['02']
 Miss. Georgette AlexandraMadill,['02']
 Mr. HammadHassab,['03']
 Col. Oberst AlfonsSimonius-Blumer,['03']
 Mrs. Charles Melville (Clara Jennings Gregg)Hays,['03']
 Mr. Robert WilliamsDaniel,['03']
 Master. Robert DouglasSpedden,['03']
 Dr. MaxStahelin-Maeglin,['03']
 Mrs. Albert Adrian (Vera Gillespie)Dick,['03']
 Miss. AnnePerreault,['03']
 Mr. Thomas Drake MartinezCardeza,['03']
 Mrs. James Warburton Martinez (Charlotte Wardle Drake)Cardeza,['03']
 Mrs. Frederic Oakley (Margaretta Corning Stone)Spedden,['03']
 Mrs. Thornton (Orian Hays)Davidson,['03']
 Mr. HarryAnderson,['03']
 Mr. Frederic OakleySpedden,['03']
 Mr. Walter JamesHawksford,['03']
 Mr. Albert AdrianDick,['03']
 Mr. AdolpheSaalfeld,['03']
 Miss. Margaret EdithGraham,['03']
 Miss. Helen AliceWilson,['03']
 Miss. Elizabeth WShutes,['03']
 Miss. Elizabeth MargaretBurns,['03']
 Mrs. William Thompson (Edith Junkins)Graham,['03']
 Mr. Henry SleeperHarper,['03']
 Mrs. Henry Sleeper (Myna Haxtun)Harper,['03']
 Mr. Gustave JLesurer,['03']
 Miss. AnnaWard,['03']
 Miss. Elizabeth MusseyEustis,['04']
 Miss. AugustaSerepeca,['04']
 Miss. Caroline LouiseEndres,['04']
 Miss. Emily BorieRyerson,['04']
 Miss. Jean GertrudeHippach,['04']
 Miss. MargaretFleming,['04']
 Mrs. William (Anna)Hamalainen,['04']
 Mrs. John Jacob (Madeleine Talmadge Force)Astor,['04']
 Miss. Susan Parker SuzetteRyerson,['04']
 Mrs. Herbert Fuller (Carrie Constance Toogood)Chaffee,['04']
 Master. William RoweRichards,['04']
 Miss. AmalieGeiger,['04']
 Mrs. Elizabeth (Eliza Needs)Hocking,['04']
 Master. William Thornton IICarter,['04']
 Mrs. Sidney (Emily Hocking)Richards,['04']
 Mrs. Walter Miller (Virginia McDowell)Clark,['04']
 Miss. VictorineChaudanson,['04']
 Mrs. John Bradley (Florence Briggs Thayer)Cumings,['04']
 Miss. Lucile PolkCarter,['04']
 Miss. RosalieBidois,['04']
 Miss. Ellen NellieHocking,['04']
 Mrs. William Ernest (Lucile Polk)Carter,['04']
 Master. John BorieRyerson,['04']
 Miss. Grace ScottBowen,['04']
 Mrs. Louis Albert (Ida Sophia Fischer)Hippach,['04']
 Mrs. Walter Bertram (Martha Eustis)Stephenson,['04']
 Master. George SibleyRichards,['04']
 Mrs. Arthur Larned (Emily Maria Borie)Ryerson,['04']
 Master. ViljoHamalainen,['04']
 Mrs. George Dunton (Eleanor Elkins)Widener,['04']
 Mrs. John Borland (Marian Longstreth Morris)Thayer,['04']
 Mrs. Frank Manley (Anna Sophia Atkinson)Warren,['05']
 Mr. Karl HowellBehr,['05']
 Mrs. Henry William (Clara Heinsheimer)Frauenthal,['05']
 Mrs. George Achilles (Dorothy Annan)Harder,['05']
 Mr. Edward PenningtonCalderhead,['05']
 Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)Cassebeer,['05']
 Master. WashingtonDodge,['05']
 Miss. Helen MonypenyNewsom,['05']
 Mrs. Edwin Nelson Jr (Gertrude Parsons)Kimball,['05']
 Mr. John Irwin (Irving)Flynn,['05']
 Mr. Richard LeonardBeckwith,['05']
 Mrs. Maxmillian (Margaretha Emerentia Stehli)Frolicher-Stehli,['05']
 Mrs. Samuel L (Edwiga Grabowska)Goldenberg,['05']
 Dr. Henry WilliamFrauenthal,['05']
 Mr. Samuel LGoldenberg,['05']
 Mr. Norman CampbellChambers,['05']
 Mrs. Washington (Ruth Vidaver)Dodge,['05']
 Mr. Spencer VictorSilverthorne,['05']
 Mrs. Richard Leonard (Sallie Monypeny)Beckwith,['05']
 Miss. Hedwig MargarithaFrolicher,['05']
 Mr. Isaac GeraldFrauenthal,['05']
 Mrs. Charles Emil Henry (Annie May Morris)Stengel,['05']
 Mr. Edwin Nelson JrKimball,['05']
 Mrs. Norman Campbell (Bertha Griggs)Chambers,['05']
 Miss. Helene RagnhildOstby,['05']
 Mr. MaxmillianFrolicher-Stehli,['05']
 Mr. George AchillesHarder,['05']
 Mrs. George Nelson (Martha Evelyn)Stone,['06']
 Mrs. Tyrell William (Julia Florence Siegel)Cavendish,['06']
 Mlle. Berthe Antonine (Mrs de Villiers)Mayne,['06']
 Miss. AmelieIcard,['06']
 Mrs. (Edith Martha Bowerman)Chibnall,['06']
 Mrs. Lucien Philip (Mary Eloise Hughes)Smith,['06']
 Mrs. James (Helene DeLaudeniere Chaput)Baxter,['06']
 Mrs. James Joseph (Margaret Tobin)Brown,['06']
 Mrs. William Augustus (Marie Eugenie)Spencer,['06']
 Miss. Elsie EdithBowerman,['06']
 Mrs. Carl Johan (Sigrid Posse)Lindstrom,['06']
 Mrs. Edward (Helen Churchill Hungerford)Candee,['06']
 Mrs. Frederick Charles (Mary Helene Baxter)Douglas,['06']
 Miss. Ellen NellieBarber,['06']
 Miss. MadeleineNewell,['06']
 Mrs. Edgar Joseph (Leila Saks)Meyer,['06']
 Major. Arthur GodfreyPeuchen,['06']
 Mrs. Martin (Elizabeth L. Barrett)Rothschild,['06']
 Miss. MarjorieNewell,['06']
 Mr. Fahim (Philip Zenni)Leeni,['06']
 Mrs. Boulton (Olive Potter)Earnshaw,['07']
 Mr. HenryBlank,['07']
 Mr. William BertramGreenfield,['07']
 Mr. Paul RomaineChevre,['07']
 Mr. Alfred (Baron von Drachstedt)Nourney,['07']
 Miss. Harriet RCrosby,['07']
 Mrs. Leonard (Pauline C Boeson)Gibson,['07']
 Mr. Dickinson HBishop,['07']
 Mrs. Thomas Jr (Lily Alexenia Wilson)Potter,['07']
 Mr. PierreMarechal,['07']
